Ico;Rok;Obdobie od;Obdobie do;Nazov;Odvetvie;SK Nace;Kategória zamestnancov(zo Štatistického úradu);Presný počet zamestnancov(z účtovnej závierky);Mesto;Okres;Kraj;Právna forma – kód;Právna forma;AktivaBrutto-1;AktivaCorr-1;Aktiva-1;AktivaPrev-1;AktivaBrutto-2;AktivaCorr-2;Aktiva-2;AktivaPrev-2;AktivaBrutto-3;AktivaCorr-3;Aktiva-3;AktivaPrev-3;AktivaBrutto-4;AktivaCorr-4;Aktiva-4;AktivaPrev-4;AktivaBrutto-5;AktivaCorr-5;Aktiva-5;AktivaPrev-5;AktivaBrutto-6;AktivaCorr-6;Aktiva-6;AktivaPrev-6;AktivaBrutto-7;AktivaCorr-7;Aktiva-7;AktivaPrev-7;AktivaBrutto-8;AktivaCorr-8;Aktiva-8;AktivaPrev-8;AktivaBrutto-9;AktivaCorr-9;Aktiva-9;AktivaPrev-9;AktivaBrutto-10;AktivaCorr-10;Aktiva-10;AktivaPrev-10;AktivaBrutto-11;AktivaCorr-11;Aktiva-11;AktivaPrev-11;AktivaBrutto-12;AktivaCorr-12;Aktiva-12;AktivaPrev-12;AktivaBrutto-13;AktivaCorr-13;Aktiva-13;AktivaPrev-13;AktivaBrutto-14;AktivaCorr-14;Aktiva-14;AktivaPrev-14;AktivaBrutto-15;AktivaCorr-15;Aktiva-15;AktivaPrev-15;AktivaBrutto-16;AktivaCorr-16;Aktiva-16;AktivaPrev-16;AktivaBrutto-17;AktivaCorr-17;Aktiva-17;AktivaPrev-17;AktivaBrutto-18;AktivaCorr-18;Aktiva-18;AktivaPrev-18;AktivaBrutto-19;AktivaCorr-19;Aktiva-19;AktivaPrev-19;AktivaBrutto-20;AktivaCorr-20;Aktiva-20;AktivaPrev-20;AktivaBrutto-21;AktivaCorr-21;Aktiva-21;AktivaPrev-21;AktivaBrutto-22;AktivaCorr-22;Aktiva-22;AktivaPrev-22;AktivaBrutto-23;AktivaCorr-23;Aktiva-23;AktivaPrev-23;AktivaBrutto-24;AktivaCorr-24;Aktiva-24;AktivaPrev-24;AktivaBrutto-25;AktivaCorr-25;Aktiva-25;AktivaPrev-25;AktivaBrutto-26;AktivaCorr-26;Aktiva-26;AktivaPrev-26;AktivaBrutto-27;AktivaCorr-27;Aktiva-27;AktivaPrev-27;AktivaBrutto-28;AktivaCorr-28;Aktiva-28;AktivaPrev-28;AktivaBrutto-29;AktivaCorr-29;Aktiva-29;AktivaPrev-29;AktivaBrutto-30;AktivaCorr-30;Aktiva-30;AktivaPrev-30;AktivaBrutto-31;AktivaCorr-31;Aktiva-31;AktivaPrev-31;AktivaBrutto-32;AktivaCorr-32;Aktiva-32;AktivaPrev-32;AktivaBrutto-33;AktivaCorr-33;Aktiva-33;AktivaPrev-33;AktivaBrutto-34;AktivaCorr-34;Aktiva-34;AktivaPrev-34;AktivaBrutto-35;AktivaCorr-35;Aktiva-35;AktivaPrev-35;AktivaBrutto-36;AktivaCorr-36;Aktiva-36;AktivaPrev-36;AktivaBrutto-37;AktivaCorr-37;Aktiva-37;AktivaPrev-37;AktivaBrutto-38;AktivaCorr-38;Aktiva-38;AktivaPrev-38;AktivaBrutto-39;AktivaCorr-39;Aktiva-39;AktivaPrev-39;AktivaBrutto-40;AktivaCorr-40;Aktiva-40;AktivaPrev-40;AktivaBrutto-41;AktivaCorr-41;Aktiva-41;AktivaPrev-41;AktivaBrutto-42;AktivaCorr-42;Aktiva-42;AktivaPrev-42;AktivaBrutto-43;AktivaCorr-43;Aktiva-43;AktivaPrev-43;AktivaBrutto-44;AktivaCorr-44;Aktiva-44;AktivaPrev-44;AktivaBrutto-45;AktivaCorr-45;Aktiva-45;AktivaPrev-45;AktivaBrutto-46;AktivaCorr-46;Aktiva-46;AktivaPrev-46;AktivaBrutto-47;AktivaCorr-47;Aktiva-47;AktivaPrev-47;AktivaBrutto-48;AktivaCorr-48;Aktiva-48;AktivaPrev-48;AktivaBrutto-49;AktivaCorr-49;Aktiva-49;AktivaPrev-49;AktivaBrutto-50;AktivaCorr-50;Aktiva-50;AktivaPrev-50;AktivaBrutto-51;AktivaCorr-51;Aktiva-51;AktivaPrev-51;AktivaBrutto-52;AktivaCorr-52;Aktiva-52;AktivaPrev-52;AktivaBrutto-53;AktivaCorr-53;Aktiva-53;AktivaPrev-53;AktivaBrutto-54;AktivaCorr-54;Aktiva-54;AktivaPrev-54;AktivaBrutto-55;AktivaCorr-55;Aktiva-55;AktivaPrev-55;AktivaBrutto-56;AktivaCorr-56;Aktiva-56;AktivaPrev-56;AktivaBrutto-57;AktivaCorr-57;Aktiva-57;AktivaPrev-57;AktivaBrutto-58;AktivaCorr-58;Aktiva-58;AktivaPrev-58;AktivaBrutto-59;AktivaCorr-59;Aktiva-59;AktivaPrev-59;AktivaBrutto-60;AktivaCorr-60;Aktiva-60;AktivaPrev-60;AktivaBrutto-61;AktivaCorr-61;Aktiva-61;AktivaPrev-61;AktivaBrutto-62;AktivaCorr-62;Aktiva-62;AktivaPrev-62;AktivaBrutto-63;AktivaCorr-63;Aktiva-63;AktivaPrev-63;AktivaBrutto-64;AktivaCorr-64;Aktiva-64;AktivaPrev-64;AktivaBrutto-65;AktivaCorr-65;Aktiva-65;AktivaPrev-65;Predchádzajúce obdobie od;Predchádzajúce obdobie do;
35818697;2008;2008-01-01;2008-12-31;"VENTURE PARTNERS, a. s. v likvidácii";"Nehnuteľnosti";"Kúpa a predaj vlastných nehnuteľností [68100]";0 zamestnancov;0;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";466440.948018323;1726.08378145124;464714.864236872;391289.915687446;424815.773750249;1726.08378145124;423089.689968798;358992.232622983;1029.01148509593;1029.01148509593;;;;;;;;;;;;;;;;;;;1029.01148509593;1029.01148509593;;;;;;;;;;;423786.762265153;697.072296355308;423089.689968798;358992.232622983;99581.7566221868;;99581.7566221868;99581.7566221868;;;;;;;;;;;;;;;;;697.072296355308;697.072296355308;;;323507.933346611;;323507.933346611;259410.476000797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41625.1742680741;;41625.1742680741;32297.6830644626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24895.4391555467;;24895.4391555467;20281.484432052;;;;;;;;;;;;;;;;;;;;;;;;;24895.4391555467;;24895.4391555467;20281.484432052;7037.1108013012;;7037.1108013012;5676.16012746465;;;;;;;;;;;;;;;;;;;;;;;;;7037.1108013012;;7037.1108013012;5676.16012746465;;;;;9692.62431122618;;9692.62431122618;6340.03850494589;3551.74931952466;;3551.74931952466;6107.68107282746;6140.87499170152;;6140.87499170152;232.357432118436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35818841;2008;2008-01-01;2008-12-31;"Brose Bratislava, spol. s r.o.";"Automobilový priemysel";"Výroba ostatných dielov a príslušenstva pre motorové vozidlá [29320]";nezistený;;"Prievidza";"Prievidza";Trenčiansky;112;"Spol. s r. o.";;;23165300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19682480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1628813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35820349;2008;2008-01-01;2008-12-31;"Sisecam Automotive Slovakia s.r.o.";"Výroba - ostatné";"Tvarovanie a spracovanie plochého skla [23120]";500-999 zamestnancov;;"Malacky";"Malacky";Bratislavský;112;"Spol. s r. o.";33324404.1691562;33324404.1691562;33324404.1691562;35613124.8755228;22777003.253004;9270098.91787824;13506904.3351258;12774845.6482772;371738.697470623;278961.694217619;92777.003253004;105755.825532762;0;0;0;0;337316.603598221;257053.707760738;80262.8958374826;87432.78231428;21476.4655115183;12182.1682267809;9294.29728473744;13609.5067383655;0;;0;0;7203.08039567151;3983.27026488747;3219.81013078404;4713.53648011684;0;0;0;0;0;0;0;0;22400816.5704043;8986689.2385315;13414127.3318728;12658600.5443803;144327.159264423;0;144327.159264423;144327.159264423;8515036.84524995;1357830.44546239;7157206.39978756;7503684.52499502;13462723.2291044;7628858.79306911;5833864.43603532;4724789.21861515;0;0;0;0;0;0;0;0;0;;0;0;278729.336785501;0;278729.336785501;291840.934740756;0;;0;0;0;0;0;0;4447.98512912434;4447.98512912434;0;4447.98512912434;4447.98512912434;4447.98512912434;0;4447.98512912434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3178151.76259709;51616.5438491668;3126535.21874793;4148708.7565558;;;;;2571499.70125473;51616.5438491668;2519883.15740556;2776604.92597756;52711.9431720109;52711.9431720109;52711.9431720109;173073.093009361;452864.635198832;0;452864.635198832;1155679.47951935;0;;0;0;101075.48297152;0;101075.48297152;43351.2580495253;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12449644.825068;65392.0201819027;12384252.8048861;14827756.7549625;4759410.4760008;65392.0201819027;4694018.45581889;8859456.94748722;;;;;6801433.97729536;0;6801433.97729536;0;0;0;0;5967835.09261103;0;0;0;0;0;0;0;0;888800.371771891;0;888800.371771891;0;0;0;0;464.714864236872;4244771.95777734;0;4244771.95777734;3809765.65093275;21775.2107813848;0;21775.2107813848;41492.3985925778;4222996.74699595;0;4222996.74699595;3768273.25234017;0;0;0;0;0;0;0;0;0;0;0;0;61939.8526190002;0;61939.8526190002;52048.0647945296;61939.8526190002;0;61939.8526190002;52048.0647945296;;;;;0;0;0;0;;;;;;;
35821272;2008;2008-01-01;2008-12-31;"Peek & Cloppenburg s.r.o.";"Maloobchod";"Maloobchod s odevmi v špecializovaných predajniach [47710]";100-149 zamestnancov;;"Bratislava - mestská časť Nové Mesto";"Bratislava III";Bratislavský;112;"Spol. s r. o.";15780754.1658368;2965810.26355972;12814943.9022771;13296122.9502755;9473079.73179314;2493361.21622519;6979718.51556795;8005510.19053309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9473079.73179314;2493361.21622519;6979718.51556795;8005510.19053309;;;;;3120161.98632411;429728.47374361;2690433.5125805;2840901.54683662;6340934.74075549;2063632.74248158;4277301.99827392;5164509.06193985;;;;;;;;;;;;;;;;;11983.0047135365;0;11983.0047135365;99.5817566221868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6225419.90307376;472449.047334528;5752970.85573923;5202217.35378079;;;;;;;;;;;;;;;;;;;;;2468001.0622054;472449.047334528;1995552.01487088;2673571.00179247;;;;;616344.685653588;0;616344.685653588;477926.043948749;509526.654716856;0;509526.654716856;361017.061674301;;;;;;;;;;;;;;;;;;;;;106818.030936732;0;106818.030936732;116908.982274447;296919.604328487;0;296919.604328487;490639.314877514;77474.6066520614;0;77474.6066520614;117074.951868818;;;;;193288.189603665;0;193288.189603665;203644.692292372;;;;;;;;;;;;;0;0;0;48263.9580428865;26156.8080727611;0;26156.8080727611;121655.712673438;2844154.55088628;0;2844154.55088628;1560080.99316205;57790.6127597424;0;57790.6127597424;75018.2566553807;2786363.93812654;0;2786363.93812654;1485062.73650667;;;;;;;;;;;;;82254.5309699263;0;82254.5309699263;88395.4059616278;81657.0404301932;0;81657.0404301932;88395.4059616278;;;;;597.490539733121;0;597.490539733121;0;;;;;;;
35822163;2008;2008-01-01;2008-12-31;"Správa služieb diplomatickému zboru, a.s.";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";25-49 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";;;59065488;59860984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;4891311;4513643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35823542;2008;2008-01-01;2008-12-31;"Bratislavská teplárenská, a.s.";"Energie a ťažba";"Dodávka pary a rozvod studeného vzduchu [35300]";nezistený;;"Bratislava - mestská časť Nové Mesto";"Bratislava III";Bratislavský;121;"Akc. spol.";;;90889896;64853914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;22193321;12343358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35826860;2008;2008-11-01;2009-10-31;"Leblen group a. s.";"Nehnuteľnosti";"Kúpa a predaj vlastných nehnuteľností [68100]";1 zamestnanec;;"Košice - mestská časť Západ";"Košice II";Košický;121;"Akc. spol.";;;1679133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35829192;2008;2008-01-01;2008-12-31;"CEVA Logistics Slovakia, s.r.o.";"Doprava a logistika";"Skladovanie a uskladňovanie [52100]";50-99 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";2460200.49127;193454.159198035;2266746.33207196;8170284.80382394;864668.392750448;193454.159198035;671214.233552413;585706.698532829;10389.6966075815;6240.45674832371;4149.23985925778;5609.77228971652;;;;;10389.6966075815;6240.45674832371;4149.23985925778;5609.77228971652;;;;;;;;;;;;;;;;;;;;;854278.696142866;187213.702449711;667064.993693156;580096.926243112;;;;;71267.3438226117;4846.31215561309;66421.0316669986;;783011.352320255;182367.390294098;600643.962026157;83316.7363738963;;;;;;;;;;;;;;;;496780.189869216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1463719.04667065;;1463719.04667065;7401181.70351192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70470.6897696342;;70470.6897696342;28646.3519883157;70470.6897696342;;70470.6897696342;28646.3519883157;;;;;;;;;;;;;;;;;;;;;;;;;1350195.84412136;;1350195.84412136;6223859.78888668;1334561.50833167;;1334561.50833167;6209287.65850096;;;;;;;;;;;;;;;;;;;;;398.327026488747;;398.327026488747;4215.62769700591;15236.0087631946;;15236.0087631946;10356.5026887074;43052.5127796588;;43052.5127796588;1148675.56263692;6008.09931620527;;6008.09931620527;2024.8290513178;37044.4134634535;;37044.4134634535;1146650.73358561;;;;;;;;;;;;;131813.051848901;;131813.051848901;183396.401779194;79134.3025957644;;79134.3025957644;34322.5121157804;;;;;52678.7492531368;;52678.7492531368;149073.889663414;;;;;;;
35829141;2008;2008-01-01;2008-12-31;"Slovenská elektrizačná prenosová sústava, a.s.";"Energie a ťažba";"Prenos elektriny [35120]";500-999 zamestnancov;618;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";;;464065002;413988183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;59673508;69927704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35829761;2008;2008-01-01;2008-12-31;"ZF Active Safety Slovakia s.r.o.";"Automobilový priemysel";"Výroba ostatných dielov a príslušenstva pre motorové vozidlá [29320]";250-499 zamestnancov;;"Nové Mesto nad Váhom";"Nové Mesto n.Váhom";Trenčiansky;112;"Spol. s r. o.";;;17698931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7215196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35833114;2008;2008-04-17;2010-12-21;"PQI, s.r.o. v likvidácii";"Reklama";"Prieskum trhu a verejnej mienky [73200]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35834951;2008;2008-01-01;2008-12-31;"DENIM s.r.o.";"Maloobchod";"Maloobchod s textilom v špecializovaných predajniach [47510]";50-99 zamestnancov;66;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";2240158.00305384;364568.810993826;1875589.19206001;1532994.75536082;1047234.94655779;364568.810993826;682666.135563965;587167.230963288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1047234.94655779;364568.810993826;682666.135563965;587167.230963288;;;;;353183.296820023;45741.2202084578;307442.076611565;216955.453760871;694051.649737768;318827.590785368;375224.0589524;370211.777202416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1128228.1086105;;1128228.1086105;828420.633339972;1005476.99661422;;1005476.99661422;640211.113324039;;;;;;;;;;;;;;;;;1005476.99661422;;1005476.99661422;640211.113324039;;;;;6671.97769368652;;6671.97769368652;132.775675496249;;;;;;;;;;;;;;;;;;;;;;;;;6671.97769368652;;6671.97769368652;132.775675496249;101141.870809268;;101141.870809268;94536.2809533294;48629.0911505012;;48629.0911505012;63002.0580229702;;;;;;;;;;;;;;;;;;;;;18323.0432184824;;18323.0432184824;132.775675496249;34189.7364402841;;34189.7364402841;31401.4472548629;14937.263493328;;14937.263493328;93540.4633871075;12314.9439022771;;12314.9439022771;82918.4093474076;2622.31959105092;;2622.31959105092;10622.0540396999;;;;;;;;;;;;;64694.9478855474;;64694.9478855474;117406.891057558;64694.9478855474;;64694.9478855474;61475.1377547633;;;;;;;;55931.7533027949;;;;;;;
35835222;2008;2008-12-11;2009-12-15;"City Reality Service s.r.o.";"Nehnuteľnosti";"Realitné kancelárie [68310]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;29378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35840412;2008;2008-01-01;2008-12-31;"Five, s.r.o.";"Veľkoobchod";"Veľkoobchod s textilom [46410]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";3584777.26880436;117705.636327425;3467071.63247693;2137854.34508398;1345249.95020912;117705.636327425;1227544.3138817;830312.686715794;9460.26687910775;9460.26687910775;;1892.05337582155;;;;;;;;;;;;;;;;;9460.26687910775;9460.26687910775;;1892.05337582155;;;;;;;;;1335789.68333001;108245.369448317;1227544.3138817;828420.633339972;19916.3513244374;;19916.3513244374;45575.2506140875;1191661.68757884;14904.069574454;1176757.61800438;745502.223992564;124211.644426741;93341.2998738631;30870.3445528779;29940.9148244042;;;;;;;;;;;;;;;;7402.24390891589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2224656.44293965;;2224656.44293965;1283409.67934674;319922.990108212;;319922.990108212;318893.978623116;;;;;;;;;;;;;;;;;319922.990108212;;319922.990108212;318893.978623116;;;;;;;;99.5817566221868;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.5817566221868;1889397.86231162;;1889397.86231162;545342.893181969;1884385.58056164;;1884385.58056164;392484.896766912;;;;;;;;;;;;;;;;;;;;;5012.2817499834;;5012.2817499834;152857.996415057;;;;;15335.5905198168;;15335.5905198168;419073.225785036;14472.5486290912;;14472.5486290912;413363.871738697;863.041890725619;;863.041890725619;5709.35404633871;;;;;;;;;;;;;14870.8756555799;;14870.8756555799;24131.9790214433;14870.8756555799;;14870.8756555799;4215.62769700591;;;;;;;;19916.3513244374;;;;;;;
35843071;2008;2008-12-01;2009-10-31;"PXP Corp., s.r.o. v likvidácii";"Právo, poradenstvo a účtovníctvo";"Poradenské služby v oblasti podnikania a riadenia [70220]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;28769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35846712;2008;2008-01-01;2008-12-31;"KE Holdings SK s.r.o.";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";nezistený;;"Komárno";"Komárno";Nitriansky;112;"Spol. s r. o.";2723926.17672442;193586.934873531;2530339.24185089;2152725.22073956;1155712.67343823;193586.934873531;962125.738564695;942242.581159132;7767.37701653057;531.102701984996;7236.27431454558;0;;;;;7767.37701653057;531.102701984996;7236.27431454558;;;;;;;;;;;;;;;;;;;;;;1067118.10396335;193055.832171546;874062.271791808;861415.38870079;52214.0343889;;52214.0343889;52214.0343889;784106.751643099;73657.3059815442;710449.445661555;370178.583283542;230133.439553874;119398.526190002;110734.913363872;102336.851888734;;;;;;;;;;;;;663.878377481246;;663.878377481246;336685.919139614;;;;;;;;;80827.1924583416;;80827.1924583416;80827.1924583416;;;;;;;;;;;;;;;;;80827.1924583416;;80827.1924583416;80827.1924583416;;;;;;;;;;;;;1546504.68034256;;1546504.68034256;1201586.66932218;664077.54099449;;664077.54099449;506439.620261568;562139.016132245;;562139.016132245;506439.620261568;;;;;;;;;;;;;101938.524862245;;101938.524862245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196507.999734449;;196507.999734449;169620.925446458;181371.572727876;;181371.572727876;169620.925446458;;;;;;;;;;;;;;;;;33.1939188740623;;33.1939188740623;;14937.263493328;;14937.263493328;;165.969594370311;;165.969594370311;;685919.139613623;;685919.139613623;525526.123614154;;;;;685919.139613623;;685919.139613623;524397.530372436;;;;;;;;;;;;;21708.8229436367;;21708.8229436367;8895.97025824869;21708.8229436367;;21708.8229436367;2887.87094204342;;;;;;;;6008.09931620527;;;;;;;
35846968;2008;2008-01-01;2008-12-31;"ESSOX FINANCE, s.r.o.";"Financie";"Finančný lízing [64910]";25-49 zamestnancov;;"Bratislava";"Bratislava II";Bratislavský;112;"Spol. s r. o.";58698798.3801368;769567.81517626;57929230.5649605;47112394.6093076;198665.604461263;119564.495784372;79101.1086768904;116411.073491336;48297.1519617606;48297.1519617606;;8895.97025824869;;;;;48297.1519617606;48297.1519617606;;8895.97025824869;;;;;;;;;;;;;;;;;;;;;150368.452499502;71267.3438226117;79101.1086768904;107515.103233088;;;;;2223.99256456217;398.327026488747;1825.66553807342;1925.24729469561;146484.763991237;70869.016796123;75615.7471951139;79067.9147580163;;;;;;;;;;;;;1659.69594370311;;1659.69594370311;26521.9411803758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58475635.6635464;650003.319391887;57825632.3441546;46971386.8419306;160625.373431587;;160625.373431587;160625.373431587;7933.34661090088;;7933.34661090088;;;;;;;;;;;;;;152692.026820686;;152692.026820686;160625.373431587;;;;;19537243.5769767;;19537243.5769767;13946624.1784505;2022140.343889;;2022140.343889;1868054.1724756;;;;;;;;;;;;;;;;;17409413.7953927;;17409413.7953927;12007037.1108013;105689.437695014;;105689.437695014;71532.8951736042;37375589.19206;650003.319391887;36725585.8726681;32429296.9527982;24674998.3403041;650003.319391887;24024995.0209122;23467768.7047733;;;;;;;;;;;;;;;;;;;;;189437.695014273;;189437.695014273;357730.863705769;12511153.1567417;;12511153.1567417;8603797.38431919;1402177.52107814;;1402177.52107814;434840.337250216;24530.306047932;;24530.306047932;9460.26687910775;1377647.21503021;;1377647.21503021;425380.070371108;;;;;;;;;;;;;24497.112129058;;24497.112129058;24596.6938856801;9891.78782447056;;9891.78782447056;17227.6438956383;;;;;14605.3243045874;;14605.3243045874;7369.04999004182;;;;;;;
